num,x,y,spp,dbh01,dbh04,hgt,crd,kabudachi,death
2,4.534751275,8.606925568,bp,4.710986316,4.965634224,3.8,21.443388807703933,154.08526417952427,1
3,4.649050118,8.685680649,bp,3.596901714,3.533239737,3.1,20.823478257494813,167.64884530610922,1
4,4.541337313,8.74979935,bp,8.276057041,8.912676813,8.3,21.264455772118747,142.98634876801182,1
5,4.442832544,8.562818777,bp,1.69,1.92,3.6,20.15431699403435,149.76896597360115,1
6,4.289145621,8.931242653,bp,2.51,2.801126998,5.3,23.52673642157258,145.01803228404336,1
7,4.307478628,9.057609198,bp,1.83,2.355493158,3.5,24.825184261415288,164.33877616909544,1
8,4.384790974,9.080474258,bp,2.84,3.21492985,4.0,25.19719032226931,174.5448827690991,1
9,4.467092129,9.014438999,bp,5.156620156,5.411268065,6.0,23.765958981877606,161.38616396591402,1
10,4.573330983,9.237331407,bp,2.42,2.419155135,4.1,24.440445390521102,133.4284622365298,1
11,4.65433204,9.105441976,bp,7.894085177,8.244226052,6.6,23.51835876990494,111.45396391757028,1
12,4.357567182,8.892998692,bp,0.76,0.71,2.1,22.25461809042578,184.36139939923822,1
13,4.905947437,8.729910048,bp,0.54,0.59,1.7,19.994648571376004,178.71732306888595,1
14,4.905947437,8.729910048,bp,0.81,1.33,2.1,19.994648571376004,151.71732306888595,1
15,4.913632476,8.918859208,bp,0.39,0.85,1.5,22.38555433906885,104.69909065320924,1
19,6.909316774,17.28119339,bp,11.04535305,0.0,5.0,25.608353086442797,58.859107964433285,0
20,6.899912072,17.63459592,bp,10.40873328,11.42732491,8.2,23.32263297096294,139.62016025287843,1
21,6.890765275,17.69562599,bp,4.297183463,4.551831372,5.5,24.077082982620222,242.30657269946013,1
22,6.833333726,17.8773298,bp,4.456338407,4.61549335,4.0,23.06613881108124,112.62953088750174,1
23,6.988692959,17.92732174,bp,2.896619964,2.960281942,2.9,22.70371064732725,103.56710195025306,1
24,6.597033223,17.7890832,bp,1.76,1.909859317,3.1,24.32437953566687,99.57438750965956,1
25,6.590440656,17.62216538,bp,1.98,2.196338215,3.7,23.770983051903585,100.12411406993706,1
30,8.302944683,22.16275509,bp,1.82,2.705634033,3.8,26.055843181239073,131.96727287470824,1
31,8.418489093,22.1145783,bp,4.297183463,4.61549335,3.7,25.599049390507943,120.5453204620844,1
32,8.640717582,22.44507662,bp,18.23915648,18.52563538,11.9,26.241219425207237,126.42676515346443,1
33,8.507267028,22.71501523,bp,13.59183214,13.68732511,5.8,28.06930023236019,128.926085160859,1
34,8.811950518,22.14812198,bp,5.856901906,6.68450761,4.3,24.606218771037646,129.29826210650185,1
35,8.946126596,22.23051988,bp,0.62,1.06,2.1,24.376740113022684,163.16466330918672,1
36,8.916752409,22.42262801,bp,2.99211293,3.9152116,4.5,25.232301502364706,168.31815751979263,1
37,8.925955508,22.88300507,bp,15.40619849,16.71126902,14.2,27.619451311340107,122.63555738690219,1
38,9.04454747,22.93875162,bp,4.679155327,0.0,1.7,27.48814792177425,183.11931673585352,0
50,1.070079198,30.0129831,bp,1.54,1.55,2.2,22.204063764795283,32.4315767422322,1
51,1.087553512,30.01110021,bp,0.57,1.15,2.0,22.25759781723802,87.6221547070835,1
88,19.49491609,28.80229213,bp,2.53,2.641972055,2.9,17.793185981336638,91.26426727378941,1
89,19.16681091,28.65414696,bp,1.87,2.21,2.8,17.34609105395011,163.94889308219155,1
90,19.01433591,28.50552349,bp,1.86,2.07,2.6,17.004633386306853,126.81156724153487,1
91,19.28818616,28.62802263,bp,12.15943765,12.3185926,7.4,17.354924150118805,82.74219132543672,1
92,19.56290792,28.4251192,bp,3.16,3.660563691,3.7,17.100690234190342,88.90364011491332,1
93,19.5558921,28.66597854,bp,0.69,0.72,1.6,17.54847439827693,110.88517413291098,1
94,19.07484955,28.29398063,bp,12.92338138,13.62366313,6.4,16.675846163115065,67.07510857400662,1
95,19.31219183,28.19753908,bp,2.02,2.74,3.4,16.616849133197604,115.31237351821916,1
96,19.39503726,28.23270488,bp,1.24,1.93,3.3,16.70579783565575,117.89624737353061,1
105,19.69916376,20.65348857,bp,3.628732702,3.756056657,3.5,22.12048285499632,0.0,1
108,19.67472816,13.7331669,bp,0.44,0.8,1.6,51.1916911010791,28.698519673414175,1
109,19.51290635,13.84346365,bp,0.19,0.38,1.4,48.732595504147774,76.73307749600677,1
110,19.66967545,13.82849535,bp,1.0,1.28,2.4,50.78476201864411,25.268338675444888,1
111,19.45059203,13.83748748,bp,4.265352475,4.488169395,4.9,47.415855215537206,9.375525287397648,1
112,16.47161312,13.88853747,bp,8.785352859,9.549296586,6.3,28.508309728338475,0.0,1
126,21.83654062,11.59546112,bp,1.01,1.09,0.0,50.08666652472957,62.218882852963375,1
133,24.4813307,11.26108677,bp,4.456338407,4.742817304,8.5,51.69565873798955,155.97849892102226,1
134,24.48375705,11.3246776,bp,3.787887646,4.106197532,4.1,51.98566957016976,177.67203451803556,1
135,24.43156071,11.48465801,bp,8.467042972,8.626197916,7.1,53.18517883651437,99.87798611580742,1
136,24.25632119,10.97345114,bp,5.888732894,5.76140894,6.6,51.545496036241474,99.64076265942428,1
137,24.04266054,10.75532407,bp,0.63,1.27,2.3,49.16845359319614,154.69189090714758,1
138,23.97581063,10.57747275,bp,0.9,1.47,1.9,48.64370487329802,98.76665982113973,1
139,23.90415344,10.78510482,bp,11.14084602,11.55464887,1.6,50.199469282181894,88.45260133017017,1
140,23.81413609,10.89146298,bp,2.27,2.705634033,2.8,49.90667355005393,162.60748781142505,1
141,23.80324496,10.79989943,bp,0.55,0.58,1.5,49.46544745222829,195.60776792503785,1
142,23.77682103,11.15813707,bp,3.978873577,4.13802852,4.8,51.774753524163124,191.57418147115578,1
143,23.82222553,11.16380723,bp,5.029296202,5.411268065,5.5,53.004256009049236,171.79973836386336,1
144,24.31968047,11.74054771,bp,4.901972247,5.347606088,3.3,53.69586458836275,69.1461093186802,1
145,21.97132574,11.53273059,bp,1.33,0.0,1.3,51.784928711932835,46.49793335901628,0
146,21.7827579,10.54029764,bp,19.09859317,0.0,7.5,45.757182635285325,0.0,0
147,21.71355393,11.60416447,bp,2.29,2.450986124,2.0,48.822904281302385,46.81863505870157,1
148,21.78553769,11.94731163,bp,3.469577759,3.501408748,4.6,49.74826251453259,58.49550826010567,1
149,21.95167055,12.18468638,bp,5.98422586,5.856901906,5.6,52.24411840507084,73.39513188877098,1
150,22.02183317,12.08199862,bp,0.7,1.11,2.0,52.62203345449801,110.79795740050658,1
151,22.1852257,12.1449738,bp,3.501408748,3.69239468,4.9,54.78340873213696,63.316565260217956,1
152,21.91691253,12.38250162,bp,6.525352667,6.748169587,6.4,52.6209182138392,56.5418054258796,1
153,22.27553891,12.64691356,bp,0.65,0.0,1.3,56.08534556016611,37.30600613085758,0
170,25.09757866,34.13590656,bp,15.59718442,0.0,6.1,22.153469629730893,14.817095030466715,0
171,25.43332391,34.33418221,bp,4.233521486,4.392676429,3.7,21.060798859664633,43.57894278160785,1
172,24.90735078,34.66329612,bp,2.22,2.450986124,3.6,22.388283601200886,34.643173267679224,1
173,20.55777251,33.49386522,bp,7.512113314,7.671268257,7.7,17.042907707831443,99.98119694057084,1
174,20.86937028,33.30621965,bp,3.119436885,3.947042589,4.6,17.003890915602522,101.66180545268367,1
175,20.54820962,33.73393535,bp,1.27,2.005352283,2.8,16.81887808284839,183.16677953224502,1
176,20.65225761,33.79418337,bp,10.44056427,11.23633898,9.9,18.631531929069162,114.08082361541877,1
177,20.85173115,33.61657192,bp,6.111549815,6.875493542,5.6,17.14364383821575,158.96722924846526,1
178,21.0009762,33.60789967,bp,7.671268257,8.116902098,9.2,17.268797110609995,127.92695274638699,1
179,20.97847287,33.95872606,bp,10.66338119,0.0,6.8,18.815858925455867,88.98920094940259,0
180,20.6057334,34.51333553,bp,1.69,2.132676237,2.7,18.267711691368127,46.40758263003702,1
186,26.08806805,46.32643876,bp,4.551831372,4.83831027,5.0,9.128014448038064,85.88002409748827,1
187,26.36302701,46.65852741,bp,6.46169069,7.002817496,6.6,8.819946465847144,138.98108234353626,1
188,26.10917963,46.69040539,bp,5.729577951,6.047887837,6.7,9.096837268837291,145.31535890281756,1
189,26.35622472,46.8162165,bp,3.9152116,4.010704566,4.6,8.908602394872666,168.08537698201823,1
190,25.93341499,46.75386456,bp,1.31,1.43,1.8,9.29841367455274,170.86646569760967,1
191,26.64557984,47.05211802,bp,10.56788822,10.75887415,9.5,8.467707360323274,111.94768896554756,1
192,26.92460011,46.94881381,bp,3.469577759,0.0,3.5,8.405165082095213,88.11879178815961,0
193,26.584829,47.33891185,bp,4.870141259,4.392676429,4.4,8.628747347241628,119.46840248468891,1
194,26.38270087,47.29090047,bp,1.35,1.48,2.7,8.630189839974715,161.9308107318209,1
195,26.12561572,47.27440252,bp,12.54140952,12.15943765,9.7,9.49363941572577,103.26461644337672,1
196,26.40294026,47.5768566,bp,2.38,0.0,3.2,8.700787612654814,104.38063235591612,0
197,25.84220132,46.93783711,bp,9.040000768,9.008169779,10.8,9.447154447029991,109.21818971056247,1
198,25.79147592,46.63889349,bp,2.928450953,0.0,2.8,9.318207277591352,113.40528340701059,0
199,30.57121376,48.90178856,bp,5.98422586,5.98422586,6.9,37.25902168923969,0.0,1
200,37.97262429,45.94387719,bp,12.63690248,12.92338138,10.7,14.373018822799548,53.064641226997544,1
201,37.58664551,46.05556767,bp,1.09,1.17,1.9,13.90907563961216,114.70323616370064,1
202,37.47892304,45.78060111,bp,18.36648043,0.0,5.9,13.532838615652276,65.42478766720502,0
203,37.19510181,45.58702726,bp,12.8597194,13.4326772,8.3,11.873832407813687,70.01761024506774,1
211,35.20895174,23.34408758,bp,1.35,2.387324146,2.6,35.69187280156098,48.4264057176093,1
212,35.18994777,23.20537707,bp,6.780000576,7.703099246,6.0,34.40880931514853,9.642425098043613,1
218,32.17251558,17.93114137,bp,2.06,2.15,2.4,26.961178894729706,185.85667683160452,1
219,32.32412661,17.64319379,bp,2.93,3.151267873,4.2,29.370738761199668,209.4145943399527,1
