num,x,y,spp,dbh01,dbh04,hgt,crd,kabudachi,death
368,46.07217627,31.48121188,bp,6.875493542,7.161972439,5.1,83.69836462935332,38.80951334088459,1
369,45.8706027,31.3603271,bp,2.21,2.355493158,1.9,82.00116217229562,39.63353560328957,1
375,41.20610973,42.38492289,bp,3.59,0.0,4.0,83.78051551328136,30.48930626959111,0
376,41.42147761,42.17811395,bp,9.103662745,9.45380362,3.7,84.33491154489263,12.023359451441552,1
377,43.89162982,45.45955758,bp,2.6,2.47,3.6,68.19086548241552,21.944670755969682,1
378,43.99575369,45.33807417,bp,1.84,1.87,3.5,65.46247689691269,24.10813212313976,1
379,43.99146281,45.76436255,bp,3.35,3.947042589,3.8,70.88554406203251,12.422419745743982,1
381,40.21012251,48.31303571,bp,4.9,5.156620156,5.5,114.98237005234435,4.125684132456382,1
382,40.10706909,48.14308422,bp,0.82,0.92,1.9,112.22457510917106,24.653478352483262,1
384,51.82066451,43.40010826,bp,6.90732453,7.384789359,2.7,46.0845471744695,13.71460149252911,1
385,52.08192628,43.63370528,bp,4.806479281,5.252113122,5.5,48.98578131674673,19.70906307304666,1
387,56.70512746,42.45833474,bp,4.010704566,4.551831372,6.2,103.05100873988162,0.0,1
391,56.6048896,44.28198239,bp,6.175211792,0.0,4.9,87.58013532973771,65.30597014421006,0
392,56.66615475,44.38516467,bp,1.99,2.01,3.4,83.03530995955859,97.56038169200536,1
393,56.64079023,44.11067833,bp,3.59,3.69239468,5.7,89.15968786474353,68.0114605174125,1
394,56.6127641,43.9886247,bp,1.96,2.09,4.6,90.22446106660696,61.785441812894184,1
395,56.50970959,44.3043637,bp,1.09,1.19,2.5,87.23181888006366,104.9777463695261,1
396,56.61273539,44.42892843,bp,1.1,0.0,1.9,82.67305150848019,99.04622056746507,0
397,56.71268481,44.48547746,bp,0.67,0.7,1.6,82.49777242119214,71.67198883263278,1
400,50.58367272,49.73697816,bp,3.82,4.424507418,5.2,40.122377708990065,0.0,1
401,66.61893456,0.557050436,bp,7.989578143,0.0,3.8,72.64981505832348,26.55686940615361,0
